Time,North Cars,South Cars,East Cars,West Cars,North Light,South Light,East Light,West Light,North Action,South Action,East Action,West Action
01:53:01,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:02,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:04,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:05,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:06,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:07,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:08,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:09,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:10,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:11,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:12,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:13,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:14,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:16,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:17,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:18,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:19,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:20,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:53:21,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:13,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:14,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:15,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:16,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:17,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:18,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:19,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:20,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:22,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:23,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:23,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:38:24,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:38:26,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:38:27,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:28,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:29,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:30,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:31,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:33,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:34,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:35,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:36,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:37,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:38:38,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:38:39,1,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:38:40,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:41,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:43,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:44,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:45,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:46,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:47,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:48,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:49,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:50,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:38:51,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:38:52,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:38:53,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:54,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:55,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:56,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:57,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:58,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:38:59,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:00,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:02,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:03,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:04,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:39:05,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:39:06,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:39:07,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:08,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:09,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:10,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:11,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:12,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:13,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:14,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:15,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:39:16,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:39:17,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:39:18,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:44:28,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:29,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:30,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:31,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:33,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:34,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:35,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:35,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:37,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:38,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:39,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:44:40,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:44:41,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:44:42,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:43,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:44,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:45,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:46,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:47,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:48,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:49,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:50,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:52,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:44:53,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:44:54,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:44:55,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:56,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:57,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:58,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:44:59,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:00,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:01,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:02,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:03,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:04,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:05,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:45:06,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:45:07,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:45:09,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:10,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:11,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:12,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:13,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:14,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:15,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:16,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:17,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
08:45:18,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:45:19,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:45:20,0,0,0,0,Red,Red,Red,Red,Red,Red,Green,Green
08:45:22,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
