tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
2988.00;1195571203_0;89.18;15.62;815.00;0.00;-488440850_0;5.10;0.00;tripinfo_815;2173.00;815;0;1780.85;1.14;0.00;2088.54;DEFAULT_VEHTYPE;;10;2005.00
2994.00;379359177#0_0;0.20;9.30;266.00;0.00;-488232997#2_0;5.10;0.00;tripinfo_266;2728.00;266;0;997.80;0.98;0.00;2678.30;DEFAULT_VEHTYPE;;10;2574.00
2997.00;-488451879#3_0;38.18;11.89;108.00;0.00;-488232988#6_0;5.10;0.00;tripinfo_108;2889.00;108;0;1475.31;1.06;0.00;2815.26;DEFAULT_VEHTYPE;;15;2640.00
2998.00;-488453906#6_0;43.11;11.08;962.00;0.00;-1211506461_0;5.10;0.00;tripinfo_962;2036.00;962;0;1224.54;0.85;0.00;1880.74;DEFAULT_VEHTYPE;;14;1793.00
3010.00;193847185#4_0;152.14;18.83;146.00;0.00;488426771#1_0;5.10;0.00;tripinfo_146;2864.00;146;0;2869.88;0.89;0.00;2619.54;DEFAULT_VEHTYPE;;15;2471.00
3010.00;488455852#1_0;35.48;13.64;762.00;0.00;-488439368#2_0;5.10;0.00;tripinfo_762;2248.00;762;0;1769.72;0.99;0.00;2077.05;DEFAULT_VEHTYPE;;13;1993.00
3012.00;488232986#3_0;0.20;5.16;448.00;0.00;716013643_0;5.10;0.00;tripinfo_448;2564.00;448;0;1043.47;0.88;0.00;2123.11;DEFAULT_VEHTYPE;;11;2041.00
3017.00;1132773661_0;0.58;3.10;618.00;0.00;-488440842#3_0;5.10;0.00;tripinfo_618;2399.00;618;0;1370.56;1.00;0.00;2295.03;DEFAULT_VEHTYPE;;14;2203.00
3021.00;-488451883_0;36.14;13.01;562.00;0.00;488232997#2_0;5.10;0.00;tripinfo_562;2459.00;562;0;1124.53;0.99;0.00;2162.46;DEFAULT_VEHTYPE;;13;2041.00
3027.00;-488429013#0_0;77.82;11.39;877.00;0.00;374433108#2_0;5.10;0.00;tripinfo_877;2150.00;877;0;1018.23;0.91;0.00;2091.53;DEFAULT_VEHTYPE;;8;2020.00
3028.00;489205463#0_0;142.54;14.98;183.00;0.00;-1092888927#1_0;5.10;0.00;tripinfo_183;2845.00;183;0;1957.45;1.08;0.00;2730.88;DEFAULT_VEHTYPE;;18;2590.00
3041.00;1134050845_0;71.90;18.34;532.00;0.00;1245799229_0;4.63;0.00;tripinfo_532;2509.00;532;0;1216.43;0.97;0.00;2132.72;DEFAULT_VEHTYPE;;12;2042.00
3042.00;-488232986#1_0;293.53;13.78;938.00;0.00;-488440842#4_0;5.10;0.00;tripinfo_938;2104.00;938;0;1553.08;1.00;0.00;1927.15;DEFAULT_VEHTYPE;;8;1862.00
3048.00;488451887#0_0;28.85;13.22;913.00;0.00;488455852#1_0;5.10;0.00;tripinfo_913;2135.00;913;0;1358.55;1.06;0.00;2046.04;DEFAULT_VEHTYPE;;11;1963.00
3050.00;1134050845_0;71.90;18.87;956.00;0.00;488439366#2_0;5.10;0.00;tripinfo_956;2094.00;956;0;1283.71;0.98;0.00;2028.96;DEFAULT_VEHTYPE;;11;1927.00
3052.00;-488232997#3_0;47.38;14.35;862.00;0.00;488440842#4_0;5.10;0.00;tripinfo_862;2190.00;862;0;1488.46;1.07;0.00;2115.05;DEFAULT_VEHTYPE;;14;2010.00
3054.00;374433111#9_0;141.77;18.51;451.00;0.00;-1211506463_0;5.10;0.00;tripinfo_451;2603.00;451;0;1905.15;0.89;0.00;2494.63;DEFAULT_VEHTYPE;;13;2394.00
3063.00;488232982#3_0;49.65;4.56;80.00;0.00;-1245438635_0;5.10;0.00;tripinfo_80;2983.00;80;0;2509.90;1.03;0.00;2866.54;DEFAULT_VEHTYPE;;15;2723.00
3063.00;379359178#0_0;41.69;4.86;558.00;0.00;488439369#2_0;0.20;0.00;tripinfo_558;2505.00;558;0;796.09;0.99;0.00;2462.59;DEFAULT_VEHTYPE;;10;2397.00
3064.00;1211506458#0_0;8.99;7.24;709.00;0.00;-489205461#0_0;5.10;0.00;tripinfo_709;2355.00;709;0;1234.07;0.79;0.00;2244.42;DEFAULT_VEHTYPE;;15;2139.00
3066.00;1245516596#1_0;26.43;10.71;222.00;0.00;488235612#12_0;0.20;0.00;tripinfo_222;2844.00;222;0;1824.82;0.84;0.00;2720.38;DEFAULT_VEHTYPE;;16;2587.00
3071.00;374433106#1_0;0.20;6.44;125.00;14.00;-1211506466#5_0;0.20;0.00;tripinfo_111;2946.00;111;0;986.67;0.87;0.00;2875.52;DEFAULT_VEHTYPE;;16;2763.00
3071.00;-488233001#4_0;2.32;5.24;130.00;0.00;-488453906#3_0;5.10;0.00;tripinfo_130;2941.00;130;0;1799.57;1.03;0.00;2857.61;DEFAULT_VEHTYPE;;15;2697.00
3071.00;379359178#2_0;0.20;0.00;621.00;0.00;488444640#4_0;5.10;0.00;tripinfo_621;2450.00;621;0;767.54;1.02;0.00;2202.60;DEFAULT_VEHTYPE;teleport;9;2119.00
3073.00;717045286#1_0;27.38;14.29;499.00;27.00;488235612#18_0;5.10;0.00;tripinfo_472;2574.00;472;0;2054.39;1.04;0.00;2459.50;DEFAULT_VEHTYPE;;13;2361.00
3076.00;-374433106#0_0;0.20;4.28;257.00;0.00;-488432660#0_0;5.10;0.00;tripinfo_257;2819.00;257;0;1060.35;1.30;0.00;2768.22;DEFAULT_VEHTYPE;;17;2609.00
3077.00;488232988#7_0;36.52;10.98;476.00;0.00;-757103003#0_0;5.10;0.00;tripinfo_476;2601.00;476;0;2228.03;0.98;0.00;2276.80;DEFAULT_VEHTYPE;;15;2170.00
3082.00;-488232982#4_0;14.01;12.01;172.00;7.00;488432660#13_0;3.43;0.00;tripinfo_165;2910.00;165;0;2758.96;0.91;0.00;2768.68;DEFAULT_VEHTYPE;;12;2634.00
3083.00;489222059#1_0;46.34;14.32;358.00;0.00;-1267082445_0;5.10;0.00;tripinfo_358;2725.00;358;0;1742.90;1.08;0.00;2618.87;DEFAULT_VEHTYPE;;18;2493.00
3086.00;489222059#1_0;46.34;14.01;912.00;0.00;489205466_0;5.10;0.00;tripinfo_912;2174.00;912;0;1883.62;1.01;0.00;2061.61;DEFAULT_VEHTYPE;;14;1924.00
3087.00;488439367#2_0;57.16;14.45;218.00;0.00;-757103003#2_0;5.10;0.00;tripinfo_218;2869.00;218;0;1715.93;1.07;0.00;2780.90;DEFAULT_VEHTYPE;;12;2606.00
3087.00;1330843193#1_0;82.47;19.81;794.00;0.00;-488439387_0;5.10;0.00;tripinfo_794;2293.00;794;0;1398.27;1.01;0.00;2228.88;DEFAULT_VEHTYPE;;10;2142.00
3093.00;-488235612#11_0;30.97;10.54;920.00;0.00;-374433111#7_0;5.10;0.00;tripinfo_920;2173.00;920;0;1905.76;0.99;0.00;2067.29;DEFAULT_VEHTYPE;;8;2006.00
3094.00;-488232987#5_0;0.20;2.86;319.00;0.00;488232996#0_0;5.10;0.00;tripinfo_319;2775.00;319;0;673.34;1.13;0.00;2731.63;DEFAULT_VEHTYPE;;16;2630.00
